MENU_new_game,		"New Game"
MENU_loadout,		"Loadout"
MENU_options,		"Settings"
MENU_level_editor,	"Level Editor"
MENU_community,		"Community"
MENU_quit,			"Quit game?"
MENU_yes,			"yes"
MENU_no,			"no"
MENU_back,			"Back"
MENU_start,			"Start"
MENU_purchase,		"Purchase"

NEWGAME_join_online,	"Join Online"
NEWGAME_join_lan,		"Join Local"
NEWGAME_create,			"Create Game"

LOBBY_standard_maps,	"Standard"
LOBBY_my_maps,			"My maps"
LOBBY_downloaded,		"Downloaded"
LOBBY_level_name,		"Level Name"

STORE_select_skin,		"Select Skin"
STORE_buy_skin,			"Buy Skin"

SKIN_SELECT_sel_skin,		"Selected Skin"
SKIN_SELECT_terrorist,		"Terrorist"
SKIN_SELECT_Cterrorist,		"Counter Terrorist"

GUN_STORE_pistol,		"Pistol"
GUN_STORE_rifle,		"Rifle"
GUN_STORE_grenades,		"Grenades"

ONCE_welcome,		"Welcome"
ONCE_name,			"Name"
ONCE_msg1,			"You can change your name later in settings"

SETTINGS_display,		"Display"
SETTINGS_sound,			"Sound"
SETTINGS_controls,		"Controls"
SETTINGS_logs,			"View logs"
SETTINGS_shadow,		"Enable Shadows"
SETTINGS_particles,		"Enable Particles"
SETTINGS_fps,			"Show FPS"
SETTINGS_dynamic_cam,	"Dynamic Camera"

SETTINGS_outjoy_sz,		"Outer Ring Size"
SETTINGS_injoy_sz,		"Inner Ring Size"
SETTINGS_radius_sz,		"Radius"
SETTINGS_joy_reset,		"RESET"

EDITOR_custom_map,		"Custom map"
EDITOR_create_map,		"Create map"
EDITOR_edit_map,		"Edit map"
EDITOR_draw_grid,		"Draw Grid"
EDITOR_clear_tiles,		"Clear all tiles"
EDITOR_saveNexit,		"Save and exit"
EDITOR_zoom,			"Zoom"
EDITOR_map_editor,		"Map Editor"
EDITOR_mode_editor,		"Game Mode Editor"
EDITOR_generate,		"Generate"
EDITOR_more,			"More"
EDITOR_map_del,			"Delete Map"
EDITOR_upload,			"Upload Map"

COMM_profile,			"My Profile"
COMM_com_maps,			"Community Maps"
COMM_chat,				"Community Chat"


